Date,Close/Last,Volume,Open,High,Low
03/31/2025,$61.71,29335720,$60.63,$61.895,$60.24
03/28/2025,$60.86,24931720,$61.66,$61.7754,$60.51
03/27/2025,$61.40,25720160,$61.89,$61.98,$61.33
03/26/2025,$61.80,30628530,$61.03,$61.84,$61.005
03/25/2025,$60.99,20877640,$60.84,$61.21,$60.70
03/24/2025,$60.97,28335640,$61.035,$61.38,$60.88
03/21/2025,$60.30,65935200,$60.17,$60.40,$59.425
03/20/2025,$60.62,16528570,$60.475,$61.02,$60.34
03/19/2025,$61.12,15488780,$60.63,$61.575,$60.50
03/18/2025,$60.30,16668980,$60.665,$60.80,$59.67
03/17/2025,$60.89,15335820,$60.40,$61.21,$60.34
03/14/2025,$60.50,16250730,$60.32,$60.62,$59.92
03/13/2025,$59.67,16463330,$60.41,$60.49,$59.23
03/12/2025,$60.46,18935340,$60.96,$61.18,$60.245
03/11/2025,$60.67,25787410,$62.28,$62.38,$60.53
03/10/2025,$62.06,27417650,$63.48,$63.69,$61.68
03/07/2025,$63.94,21154790,$62.90,$64.17,$62.19
03/06/2025,$63.41,23155120,$63.80,$64.02,$62.7608
03/05/2025,$63.96,14931470,$63.23,$64.175,$62.80
03/04/2025,$63.26,24588330,$63.74,$63.91,$62.6132
03/03/2025,$63.48,21810690,$64.39,$64.88,$63.19
