Date,Close/Last,Volume,Open,High,Low
03/31/2025,$98.09,11302850,$96.62,$98.815,$94.58
03/28/2025,$97.73,8066627,$98.00,$98.49,$97.0617
03/27/2025,$98.85,9140963,$97.90,$99.915,$97.535
03/26/2025,$97.97,9567221,$96.00,$98.39,$96.00
03/25/2025,$95.88,6984820,$96.19,$96.97,$94.77
03/24/2025,$95.72,8264970,$98.03,$98.20,$95.63
03/21/2025,$97.07,11366030,$97.94,$98.01,$96.29
03/20/2025,$99.28,5952759,$98.85,$99.69,$98.67
03/19/2025,$99.19,4982672,$98.27,$99.53,$97.95
03/18/2025,$98.28,7423375,$99.23,$99.37,$97.68
03/17/2025,$99.08,10132110,$97.71,$99.445,$97.00
03/14/2025,$98.11,8240921,$96.52,$98.245,$96.155
03/13/2025,$96.04,9274347,$98.71,$98.87,$95.93
03/12/2025,$98.69,9461159,$100.30,$100.30,$96.97
03/11/2025,$99.58,10663530,$101.89,$103.00,$99.00
03/10/2025,$101.125,15823320,$105.73,$106.00,$99.80
03/07/2025,$106.48,11637380,$104.73,$106.855,$103.4381
03/06/2025,$105.47,16321750,$110.01,$110.4266,$104.9054
03/05/2025,$111.69,11926820,$111.57,$112.5194,$110.21
03/04/2025,$112.06,12482360,$114.99,$115.27,$112.00
03/03/2025,$115.41,9225548,$116.04,$117.46,$114.10
